method,step,ID,n5,n6
KD,0,0.6481,0.1247,0.0038
KD,150,0.8574,0.0931,0.0008
KD,300,0.86,0.1708,0.0043
KD,450,0.8568,0.1753,0.0029
KD,600,0.8663,0.1162,0.0014
KD,750,0.8822,0.1798,0.0044
KD,900,0.8805,0.1663,0.0029
KD,1050,0.8835,0.1509,0.0027
KD,1200,0.8875,0.1587,0.002
KD,1400,0.8918,0.1472,0.0022
KD,1600,0.8926,0.1518,0.0023
PD,0,0.6006,0.1196,0.003
PD,150,0.8083,0.173,0.004
PD,300,0.8238,,
PD,450,0.8391,0.1938,0.0039
PD,600,0.8449,0.134,0.0018
PD,750,0.8466,0.1461,0.0017
PD,900,0.8718,0.1536,0.0017
PD,1050,0.8727,0.1082,0.0009
PD,1200,0.8842,0.1377,0.0015
PD,1400,0.8853,0.1423,0.0013
PD,1600,0.8877,0.1344,0.0018
