method,step,ID,n5,n6
KD,0,0.6481,0.1247,0.0038
KD,150,0.811,0.1424,0.0036
KD,300,0.8369,0.1387,0.003
KD,450,0.8476,0.1468,0.003
KD,600,0.8511,0.1462,0.0033
KD,750,0.8588,0.1586,0.0038
KD,900,0.8605,0.1551,0.0032
KD,1050,0.8695,0.1587,0.0037
KD,1200,0.8678,0.1503,0.0031
KD,1400,0.872,0.1535,0.0029
KD,1600,0.8793,0.163,0.0039
PD,0,0.6006,0.1196,0.003
PD,150,0.7484,0.1329,0.0022
PD,300,0.7808,0.1423,0.0023
PD,450,,,
PD,600,0.8054,0.1429,0.0021
PD,750,0.8119,0.1562,0.0025
PD,900,0.8198,0.1512,0.0024
PD,1050,0.8199,0.16,0.0029
PD,1200,0.8253,0.1525,0.0026
PD,1400,0.8326,0.1545,0.0027
PD,1600,0.839,0.1423,0.0024
