method,sftlr,ID_m1,ID_m32,ID_N,n5_m1,n5_m32,n5_N,n6_m1,n6_m32,n6_N
KD,1e-4,0.6309,0.6481,997,0.1251,0.1247,4620,0.0045,0.0038,3519
KD,1e-5,0.4183,0.4126,997,0.0511,0.0464,4620,0.0023,0.0029,3519
KD,2e-4,0.6199,0.6415,997,0.118,0.1175,4620,0.0071,0.0054,3519
KD,3e-4,0.663,0.6462,997,0.121,0.1242,4620,0.0063,0.006,3519
KD,3e-5,0.5697,0.5751,997,0.0762,0.0762,4620,0.0026,0.0021,3519
KD,3e-6,0.1043,0.1084,997,0.0123,0.0138,4620,0.0011,0.0012,3519
KD,5e-5,0.6098,0.6266,997,0.1121,0.1116,4620,0.004,0.0046,3519
PD,1e-4,0.6038,0.6006,997,0.1229,0.1196,4620,0.0043,0.003,3519
PD,2e-4,,,0,,,0,,,0
PD,3e-4,0.6058,0.5972,997,0.1065,0.1091,4620,0.0057,0.0056,3519
PD,3e-5,0.5647,0.577,997,0.1219,0.1224,4620,0.0068,0.0079,3519
PD,3e-6,0.1174,0.1071,997,0.0089,0.0089,4620,0.0011,0.0008,3519
PD,5e-5,0.5767,0.6043,997,0.113,0.1165,4620,0.0054,0.0055,3519
