method,sftlr,ID_p1,ID_p4,ID_p32,n5_p1,n5_p4,n5_p32,n6_p1,n6_p4,n6_p32,ID_N,n5_N,n6_N
KD,1e-4,0.6481,0.8767,0.9378,0.1247,0.2713,0.4831,0.0038,0.0122,0.0423,997,4620,3519
KD,1e-5,0.4126,0.6825,0.8857,0.0464,0.1244,0.3154,0.0029,0.0106,0.0554,997,4620,3519
KD,2e-4,0.6415,0.8744,0.9438,0.1175,0.2643,0.4766,0.0054,0.0175,0.0608,997,4620,3519
KD,3e-4,0.6462,0.8736,0.9378,0.1242,0.2703,0.4805,0.006,0.0193,0.071,997,4620,3519
KD,3e-5,0.5751,0.8504,0.9418,0.0762,0.1956,0.416,0.0021,0.0074,0.0352,997,4620,3519
KD,3e-6,0.1084,0.2869,0.661,0.0138,0.0462,0.1848,0.0012,0.0045,0.0298,997,4620,3519
KD,5e-5,0.6266,0.8657,0.9388,0.1116,0.2543,0.468,0.0046,0.0152,0.0583,997,4620,3519
PD,1e-4,0.6006,0.8482,0.9438,0.1196,0.2704,0.4972,0.003,0.01,0.0392,997,4620,3519
PD,2e-4,,,,,,,,,,0,0,0
PD,3e-4,0.5972,0.8484,0.9388,0.1091,0.2471,0.4597,0.0056,0.0186,0.0736,997,4620,3519
PD,3e-5,0.577,0.8336,0.9358,0.1224,0.2735,0.4996,0.0079,0.0253,0.0938,997,4620,3519
PD,3e-6,0.1071,0.2847,0.662,0.0089,0.0318,0.1502,0.0008,0.0032,0.0216,997,4620,3519
PD,5e-5,0.6043,0.8424,0.9418,0.1165,0.2581,0.4792,0.0055,0.0181,0.0693,997,4620,3519
