model,method,sft_lr,grpo_kl,exp_name,dataset,step,mean_at_1,mean_at_32
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,150,0.0020060180541624875,0.10300589267803256
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,300,0.01805416248746239,0.11211133400200415
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,450,0.08124373119358075,0.17628510531594477
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,600,0.13640922768304914,0.23044132397191294
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,750,0.19257773319959878,0.27580867602808384
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,900,0.2246740220661986,0.29484077231695177
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,1050,0.22868605817452356,0.3128761283851575
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,1200,0.2156469408224674,0.2998777582748264
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,1400,0.2176529588766299,0.3048019057171523
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced,1600,0.2657973921765296,0.33219032096289114
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,150,0.00021645021645021645,0.099601596320354
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,300,0.0017316017316017316,0.10094088203463983
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,450,0.009956709956709957,0.10925257034632975
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,600,0.02207792207792208,0.12401515151516222
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,750,0.04199134199134199,0.13772389069265273
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,900,0.048268398268398266,0.1437236201298827
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,1050,0.06038961038961039,0.15158549783551048
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,1200,0.05216450216450216,0.14711309523810792
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,1400,0.05519480519480519,0.1484381764069381
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced5,1600,0.0670995670995671,0.15688649891776082
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,150,0.0,0.09940146348394789
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,300,0.0008525149190110827,0.10006749076442524
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,450,0.00312588803637397,0.10195190394998957
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,600,0.005967604433077579,0.1040387894288192
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,750,0.006535947712418301,0.10631305058255666
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,900,0.011935208866155157,0.11105427678318261
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,1050,0.01562944018186985,0.11318822818983278
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,1200,0.01278772378516624,0.11119103438477417
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,1400,0.011651037226484797,0.11014048735436782
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-3,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,balanced6,1600,0.015913611821540212,0.11481511082694573
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,150,0.8836509528585758,0.902300651955867
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,300,0.8896690070210632,0.90227557673019
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,450,0.8756268806419257,0.8930071464393167
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,600,0.8916750250752257,0.9023633400200604
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,750,0.8676028084252758,0.8892176529588764
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,900,0.8365095285857572,0.8556199849548666
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,1050,0.8465396188565697,0.8656093279839523
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,1200,0.7472417251755266,0.7733356318956895
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,1400,0.6379137412236711,0.6806826730190607
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced,1600,0.2176529588766299,0.29269684052156464
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,150,0.361,0.4256531250000043
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,300,0.331,0.39445312500000485
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,450,0.314,0.3912875000000034
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,750,0.308,0.3742718750000038
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,900,0.389,0.45066250000000396
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1050,0.401,0.45434375000000454
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1200,0.306,0.3762156250000035
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1400,0.209,0.2821499999999996
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1600,0.055,0.1443624999999978
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,150,0.046,0.13745624999999756
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,300,0.033,0.13379687499999762
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,450,0.037,0.13584374999999735
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,600,0.068,0.15602499999999717
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,750,0.03,0.12816874999999747
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,900,0.072,0.1554906249999972
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1050,0.065,0.16129999999999722
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1200,0.059,0.15263749999999715
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1400,0.043,0.1366781249999974
Qwen2.5-0.5B,distill,sftlr=1e-5,kl=3e-4,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1600,0.005,0.1044968749999983
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,150,0.8846539618856569,0.8981726429287861
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,300,0.9037111334002006,0.9108920511534603
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,450,0.9117352056168505,0.9229783099297888
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,600,0.9237713139418254,0.924341775325978
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,750,0.9327983951855566,0.9361898194583742
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,900,0.9428284854563691,0.9355598044132397
Qwen2.5-0.5B,distill,sftlr=3e-5,kl=3e-4,balanced-distill-cross-shlokbest-n4-sft3e-5-frozen-pre-grpo-kl3e-4-lr1e-6-seed1,balanced,1050,0.9307923771313942,0.936895060180541
