model_name,method,exp_name,sft_lr,grpo_lr,grpo_kl,seed,role,checkpoint_root,eval_root,checkpoint_steps_available,eval_score_complete,missing_eval_scores,notes
Qwen2.5-0.5B,distill,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,1e-5,1e-6,3e-4,1,canonical_seed1_missing_artifacts,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,,,false,balanced@150 balanced5@150 balanced6@150 balanced@300 balanced5@300 balanced6@300 balanced@450 balanced5@450 balanced6@450 balanced@600 balanced5@600 balanced6@600 balanced@750 balanced5@750 balanced6@750 balanced@900 balanced5@900 balanced6@900 balanced@1050 balanced5@1050 balanced6@1050 balanced@1200 balanced5@1200 balanced6@1200 balanced@1400 balanced5@1400 balanced6@1400 balanced@1600 balanced5@1600 balanced6@1600,"W&B confirms finished run 1hvzfql4 on 2026-04-29, ending at global_step=300 after disk quota error at step 301. Earlier crashed attempt olq6oijq reached global_step=1088. No current checkpoint/eval artifacts found in lab or netscratch roots."
Qwen2.5-0.5B,distill,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1e-6,3e-4,1,canonical_seed1,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/results/Qwen2.5-0.5B results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,false,balanced5@1400,Clean run; archived seed1-v2 renamed to this canonical name.
Qwen2.5-0.5B,distill,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1e-6,3e-4,1,canonical_seed1,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Seed1 run for lower SFT LR.
Qwen2.5-0.5B,distill,balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed21,1e-5,1e-6,3e-4,21,comparison_seed21,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed21,results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Complete seed21 comparison run.
Qwen2.5-0.5B,distill,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed21,3e-5,1e-6,3e-4,21,comparison_seed21,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed21,results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Complete seed21 comparison run.
Qwen2.5-0.5B,distill,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed21,3e-6,1e-6,3e-4,21,comparison_seed21,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed21,results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Complete seed21 comparison run.
Qwen2.5-0.5B,progdistill,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,1e-5,1e-6,3e-3,1,canonical_seed1_progdistill,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-3-seed1,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Complete progdistill seed1 comparison run; evals live under holylabs results.
Qwen2.5-0.5B,progdistill,balanced-progdistill-sftlr3e-5-grpo-lr1e-6-kl3e-3-seed1,3e-5,1e-6,3e-3,1,canonical_seed1_progdistill,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-progdistill-sftlr3e-5-grpo-lr1e-6-kl3e-3-seed1,results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Complete progdistill seed1 comparison run; evals are available repo-local.
Qwen2.5-0.5B,progdistill,balanced-progdistill-sftlr3e-6-grpo-lr1e-6-kl3e-3-seed1,3e-6,1e-6,3e-3,1,canonical_seed1_progdistill,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-progdistill-sftlr3e-6-grpo-lr1e-6-kl3e-3-seed1,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,true,,Complete progdistill seed1 comparison run; evals live under holylabs results.
Qwen2.5-0.5B,progdistill,balanced-progdistill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1e-6,3e-4,1,canonical_seed1_progdistill_partial_eval,/n/netscratch/kempner_bingbin_lab/Lab/sdholakia/archive/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-progdistill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/results/Qwen2.5-0.5B results/Qwen2.5-0.5B,150 300 450 600 750 900 1050 1200 1400 1600,false,balanced6@600,"Complete checkpoints, but eval coverage is missing balanced6@600 under the best holylabs eval root."
