model_name,exp_name,sft_lr,seed,checkpoint_step,checkpoint_dir_exists,checkpoint_materialized,eval_dataset,eval_json_exists,score_cache_exists,checkpoint_path,eval_json_path,score_cache_path
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,150,true,false,balanced,true,true,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_150,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_150/balanced_temp0.6_n32_max1024.json,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_150/balanced_temp0.6_n32_max1024.json.scores
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,150,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_150,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,150,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_150,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,300,true,false,balanced,true,true,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_300,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_300/balanced_temp0.6_n32_max1024.json,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_300/balanced_temp0.6_n32_max1024.json.scores
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,300,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_300,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,300,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_300,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,450,true,false,balanced,true,true,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_450,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_450/balanced_temp0.6_n32_max1024.json,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_450/balanced_temp0.6_n32_max1024.json.scores
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,450,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_450,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,450,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_450,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,600,true,false,balanced,true,true,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_600,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_600/balanced_temp0.6_n32_max1024.json,results/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_600/balanced_temp0.6_n32_max1024.json.scores
